sim,prima_total,indemnizacion_total,resultado_total,loss_ratio
176,382297581.94936615,271846495.5549503,110451086.39441586,0.7110860972982961
177,331417578.70171696,215016835.59227586,116400743.1094411,0.6487792121183641
178,395654723.88159186,324246260.7890755,71408463.09251636,0.8195182345051771
179,385367577.7776397,317330640.00802314,68036937.76961654,0.8234492425076964
180,372208826.2947237,279607642.1821589,92601184.1125648,0.7512117457439308
181,447665827.37025714,370078368.5939029,77587458.77635425,0.8266844283555669
182,423789304.2774341,263055315.2222948,160733989.0551393,0.6207219308444023
183,436623830.9346259,291842876.57930183,144780954.3553241,0.6684080343360791
184,398814044.3396638,276958241.16113085,121855803.17853296,0.6944545837639804
185,418661181.9087504,320806554.9459347,97854626.9628157,0.7662677334529102
186,414230800.2937289,236160495.231968,178070305.0617609,0.570118144436647
187,423939470.95737875,267898874.45671618,156040596.50066257,0.6319271801979714
188,383520230.1601699,277105081.59776056,106415148.56240934,0.7225305467772402
189,419169484.1279698,238691443.57233897,180478040.55563083,0.5694389801989211
190,435177006.8369524,325002124.88093984,110174881.95601255,0.7468274283220765
191,369844483.1810892,287844971.5069795,81999511.6741097,0.7782865085107684
192,426810679.1813123,322760035.7657426,104050643.41556972,0.7562135895588306
193,425543483.16328317,361817693.67588526,63725789.48739791,0.8502484657650227
194,398887998.9244581,256972366.5432681,141915632.38118997,0.6442218548468636
195,391094109.6109659,339828751.26204085,51265358.348925054,0.8689181015793861
196,330329426.23750633,251896740.3917889,78432685.84571743,0.7625622193606074
197,462360583.5537039,436404191.28926456,25956392.264439344,0.943861148229941
198,383961531.82457644,287267980.53786117,96693551.28671527,0.7481686490122338
199,345988806.0822855,238652308.85322213,107336497.22906339,0.6897688730324534
200,352992328.5543739,136615051.5885054,216377276.96586853,0.38701988835845647
201,404781988.8295382,283220166.98994535,121561821.83959287,0.6996856945362137
202,403110178.42735773,273627260.9765882,129482917.45076954,0.6787902554187106
203,358903698.76551247,341181726.63965416,17721972.125858307,0.9506219295403895
204,386801629.55611044,260110920.69788927,126690708.85822117,0.6724659381512685
